run_id,name,state,metrics,created_at,dataset,dpddm.temp,model.hidden_dim,model.mid_layers,model.kernel_size,model.mid_channels,dpddm.data_sample_size,model.reg_weight_factor,Phi-mean,Phi-med,Phi-std,_runtime,_step,_timestamp,dr_ood,dr_test,dr_train,fpr_id,fpr_train,tpr,train_acc,train_loss,val_acc,val_loss,_wandb.runtime
vxkbinoi,blooming-sweep-1036,finished,"{'Phi-mean': 0.06979999844357371, 'Phi-med': 0.07000000029802322, 'Phi-std': 0.01627144688847496, '_runtime': 2337.2024829387665, '_step': 52, '_timestamp': 1740582946.223475, '_wandb': {'runtime': 2337}, 'dr_ood': [0.07789999809116126, 0.015052905754627458], 'dr_test': [0.06939999829977751, 0.014129401488606532], 'dr_train': [0.06979999819770455, 0.015936121639345935], 'fpr_id': 0.05, 'fpr_train': 0.08, 'tpr': 0.11, 'train_acc': 0.893, 'train_loss': 0.4688576283216476, 'val_acc': 0.8242436305732485, 'val_loss': 0.6171296155376799}",2025-02-26T14:36:41Z,cifar10,100,256,3,5,256,100,1,0.06979999844357371,0.07000000029802322,0.01627144688847496,2337.2024829387665,52.0,1740582946.223475,"[0.07789999809116126, 0.015052905754627458]","[0.06939999829977751, 0.014129401488606532]","[0.06979999819770455, 0.015936121639345935]",0.05,0.08,0.11,0.893,0.4688576283216476,0.8242436305732485,0.6171296155376799,2337.0
o64hl2l2,deep-sweep-1035,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:35:54Z,cifar10,10,512,3,7,256,100,100,,,,,,,,,,,,,,,,,15.0
t702i953,fiery-sweep-1034,crashed,"{'_runtime': 1362.761703491211, '_step': 5, '_timestamp': 1740581908.8880255, 'train_acc': 0.50065, 'train_loss': 1.9755394508361817, 'val_acc': 0.5510549363057324, 'val_loss': 1.2238300533810995}",2025-02-26T14:35:36Z,cifar10,1,128,3,7,512,100,10,,,,1362.761703491211,5.0,1740581908.8880255,,,,,,,0.50065,1.9755394508361817,0.5510549363057324,1.2238300533810995,
cjgfq4w6,morning-sweep-1033,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:35:21Z,cifar10,1000,512,2,7,256,100,100,,,,,,,,,,,,,,,,,15.0
dqbf3ey5,mild-sweep-1032,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:34:50Z,cifar10,10,256,3,5,512,100,1000,,,,,,,,,,,,,,,,,15.0
v9t6h96h,unique-sweep-1031,failed,{'_wandb': {'runtime': 15}},2025-02-26T14:34:20Z,cifar10,10,512,4,3,128,100,1000,,,,,,,,,,,,,,,,,15.0
dna7p7fe,solar-sweep-1030,failed,{'_wandb': {'runtime': 14}},2025-02-26T14:33:49Z,cifar10,100,256,3,7,128,100,1,,,,,,,,,,,,,,,,,14.0
j8oolq13,pretty-sweep-1029,finished,"{'Phi-mean': 0.06523999846726657, 'Phi-med': 0.05999999865889549, 'Phi-std': 0.015560925118779432, '_runtime': 1055.539428949356, '_step': 52, '_timestamp': 1740581477.909376, '_wandb': {'runtime': 1055}, 'dr_ood': [0.07669999811798334, 0.015103309990777924], 'dr_test': [0.06209999859333038, 0.013512586963437306], 'dr_train': [0.06519999822601676, 0.01785945100365973], 'fpr_id': 0.04, 'fpr_train': 0.11, 'tpr': 0.28, 'train_acc': 0.87465, 'train_loss': 0.4682674396038056, 'val_acc': 0.8420581210191083, 'val_loss': 0.5083877275324171}",2025-02-26T14:33:35Z,cifar10,1000,128,3,3,128,100,1,0.06523999846726657,0.05999999865889549,0.015560925118779432,1055.539428949356,52.0,1740581477.909376,"[0.07669999811798334, 0.015103309990777924]","[0.06209999859333038, 0.013512586963437306]","[0.06519999822601676, 0.01785945100365973]",0.04,0.11,0.28,0.87465,0.4682674396038056,0.8420581210191083,0.5083877275324171,1055.0
391pxr12,major-sweep-1028,crashed,"{'_runtime': 721.8675737380981, '_step': 35, '_timestamp': 1740581113.6909828, 'train_acc': 0.766975, 'train_loss': 31.739101651000976, 'val_acc': 0.7617436305732485, 'val_loss': 0.966737647724759}",2025-02-26T14:33:04Z,cifar10,10,256,3,3,256,100,1000,,,,721.8675737380981,35.0,1740581113.6909828,,,,,,,0.766975,31.739101651000976,0.7617436305732485,0.966737647724759,
24f6elpe,sunny-sweep-1027,crashed,"{'_runtime': 1303.1186258792875, '_step': 32, '_timestamp': 1740581695.893509, 'train_acc': 0.8518, 'train_loss': 0.9521375683784484, 'val_acc': 0.8046377388535032, 'val_loss': 0.617162542737973}",2025-02-26T14:33:03Z,cifar10,100,128,4,7,256,100,10,,,,1303.1186258792875,32.0,1740581695.893509,,,,,,,0.8518,0.9521375683784484,0.8046377388535032,0.617162542737973,
